uq_run_id,panel,dataset,subset,model,seed,method,rul_label,sensor_set,source_run_id,source_output_mode,status,output_path,notes
uq_ref_v1__kill__fd001__lstm__linear_uncapped__all_21__seed11__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lstm,11,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__lstm__linear_uncapped__all_21__seed11,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lstm__linear_uncapped__all_21__seed11__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lstm__linear_uncapped__all_21__seed23__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lstm,23,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__lstm__linear_uncapped__all_21__seed23,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lstm__linear_uncapped__all_21__seed23__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lstm__linear_uncapped__all_21__seed37__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lstm,37,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__lstm__linear_uncapped__all_21__seed37,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lstm__linear_uncapped__all_21__seed37__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lstm__linear_uncapped__all_21__seed53__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lstm,53,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__lstm__linear_uncapped__all_21__seed53,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lstm__linear_uncapped__all_21__seed53__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lstm__linear_uncapped__all_21__seed71__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lstm,71,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__lstm__linear_uncapped__all_21__seed71,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lstm__linear_uncapped__all_21__seed71__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lstm__linear_uncapped__common_14__seed11__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lstm,11,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__lstm__linear_uncapped__common_14__seed11,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lstm__linear_uncapped__common_14__seed11__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lstm__linear_uncapped__common_14__seed23__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lstm,23,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__lstm__linear_uncapped__common_14__seed23,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lstm__linear_uncapped__common_14__seed23__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lstm__linear_uncapped__common_14__seed37__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lstm,37,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__lstm__linear_uncapped__common_14__seed37,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lstm__linear_uncapped__common_14__seed37__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lstm__linear_uncapped__common_14__seed53__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lstm,53,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__lstm__linear_uncapped__common_14__seed53,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lstm__linear_uncapped__common_14__seed53__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lstm__linear_uncapped__common_14__seed71__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lstm,71,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__lstm__linear_uncapped__common_14__seed71,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lstm__linear_uncapped__common_14__seed71__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__all_21__seed11__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,11,residual_split_cp,piecewise_125,all_21,kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed11,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__all_21__seed11__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__all_21__seed23__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,23,residual_split_cp,piecewise_125,all_21,kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed23,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__all_21__seed23__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__all_21__seed37__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,37,residual_split_cp,piecewise_125,all_21,kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed37,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__all_21__seed37__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__all_21__seed53__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,53,residual_split_cp,piecewise_125,all_21,kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed53,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__all_21__seed53__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__all_21__seed71__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,71,residual_split_cp,piecewise_125,all_21,kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed71,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__all_21__seed71__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__common_14__seed11__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,11,residual_split_cp,piecewise_125,common_14,kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed11,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__common_14__seed11__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__common_14__seed23__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,23,residual_split_cp,piecewise_125,common_14,kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed23,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__common_14__seed23__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__common_14__seed37__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,37,residual_split_cp,piecewise_125,common_14,kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed37,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__common_14__seed37__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__common_14__seed53__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,53,residual_split_cp,piecewise_125,common_14,kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed53,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__common_14__seed53__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__common_14__seed71__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,71,residual_split_cp,piecewise_125,common_14,kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed71,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__piecewise_125__common_14__seed71__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__all_21__seed11__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,11,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed11,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__all_21__seed11__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__all_21__seed23__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,23,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed23,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__all_21__seed23__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__all_21__seed37__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,37,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed37,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__all_21__seed37__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__all_21__seed53__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,53,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed53,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__all_21__seed53__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__all_21__seed71__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,71,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed71,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__all_21__seed71__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__common_14__seed11__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,11,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed11,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__common_14__seed11__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__common_14__seed23__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,23,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed23,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__common_14__seed23__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__common_14__seed37__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,37,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed37,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__common_14__seed37__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__common_14__seed53__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,53,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed53,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__common_14__seed53__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__common_14__seed71__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,cnn_1d,71,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed71,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__cnn_1d__linear_uncapped__common_14__seed71__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__piecewise_125__all_21__seed11__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,11,residual_split_cp,piecewise_125,all_21,kill_v1__fd001__lightgbm__piecewise_125__all_21__seed11,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__piecewise_125__all_21__seed11__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__piecewise_125__all_21__seed23__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,23,residual_split_cp,piecewise_125,all_21,kill_v1__fd001__lightgbm__piecewise_125__all_21__seed23,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__piecewise_125__all_21__seed23__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__piecewise_125__all_21__seed37__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,37,residual_split_cp,piecewise_125,all_21,kill_v1__fd001__lightgbm__piecewise_125__all_21__seed37,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__piecewise_125__all_21__seed37__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__piecewise_125__all_21__seed53__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,53,residual_split_cp,piecewise_125,all_21,kill_v1__fd001__lightgbm__piecewise_125__all_21__seed53,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__piecewise_125__all_21__seed53__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__piecewise_125__all_21__seed71__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,71,residual_split_cp,piecewise_125,all_21,kill_v1__fd001__lightgbm__piecewise_125__all_21__seed71,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__piecewise_125__all_21__seed71__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__piecewise_125__common_14__seed11__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,11,residual_split_cp,piecewise_125,common_14,kill_v1__fd001__lightgbm__piecewise_125__common_14__seed11,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__piecewise_125__common_14__seed11__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__piecewise_125__common_14__seed23__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,23,residual_split_cp,piecewise_125,common_14,kill_v1__fd001__lightgbm__piecewise_125__common_14__seed23,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__piecewise_125__common_14__seed23__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__piecewise_125__common_14__seed37__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,37,residual_split_cp,piecewise_125,common_14,kill_v1__fd001__lightgbm__piecewise_125__common_14__seed37,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__piecewise_125__common_14__seed37__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__piecewise_125__common_14__seed53__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,53,residual_split_cp,piecewise_125,common_14,kill_v1__fd001__lightgbm__piecewise_125__common_14__seed53,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__piecewise_125__common_14__seed53__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__piecewise_125__common_14__seed71__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,71,residual_split_cp,piecewise_125,common_14,kill_v1__fd001__lightgbm__piecewise_125__common_14__seed71,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__piecewise_125__common_14__seed71__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__all_21__seed11__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,11,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed11,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__all_21__seed11__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__all_21__seed23__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,23,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed23,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__all_21__seed23__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__all_21__seed37__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,37,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed37,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__all_21__seed37__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__all_21__seed53__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,53,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed53,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__all_21__seed53__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__all_21__seed71__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,71,residual_split_cp,linear_uncapped,all_21,kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed71,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__all_21__seed71__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__common_14__seed11__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,11,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed11,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__common_14__seed11__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__common_14__seed23__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,23,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed23,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__common_14__seed23__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__common_14__seed37__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,37,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed37,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__common_14__seed37__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__common_14__seed53__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,53,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed53,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__common_14__seed53__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__common_14__seed71__residual_split_cp,kill_protocol_sensitivity,FD001,FD001,lightgbm,71,residual_split_cp,linear_uncapped,common_14,kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed71,point,completed,results/uq_reference/uq_ref_v1__kill__fd001__lightgbm__linear_uncapped__common_14__seed71__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd004__lstm__piecewise_125__all_21__seed11__residual_split_cp,kill_protocol_sensitivity,FD004,FD004,lstm,11,residual_split_cp,piecewise_125,all_21,kill_v1__fd004__lstm__piecewise_125__all_21__seed11,point,completed,results/uq_reference/uq_ref_v1__kill__fd004__lstm__piecewise_125__all_21__seed11__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd004__lstm__piecewise_125__all_21__seed23__residual_split_cp,kill_protocol_sensitivity,FD004,FD004,lstm,23,residual_split_cp,piecewise_125,all_21,kill_v1__fd004__lstm__piecewise_125__all_21__seed23,point,completed,results/uq_reference/uq_ref_v1__kill__fd004__lstm__piecewise_125__all_21__seed23__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd004__lstm__piecewise_125__all_21__seed37__residual_split_cp,kill_protocol_sensitivity,FD004,FD004,lstm,37,residual_split_cp,piecewise_125,all_21,kill_v1__fd004__lstm__piecewise_125__all_21__seed37,point,completed,results/uq_reference/uq_ref_v1__kill__fd004__lstm__piecewise_125__all_21__seed37__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd004__lstm__piecewise_125__all_21__seed53__residual_split_cp,kill_protocol_sensitivity,FD004,FD004,lstm,53,residual_split_cp,piecewise_125,all_21,kill_v1__fd004__lstm__piecewise_125__all_21__seed53,point,completed,results/uq_reference/uq_ref_v1__kill__fd004__lstm__piecewise_125__all_21__seed53__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd004__lstm__piecewise_125__all_21__seed71__residual_split_cp,kill_protocol_sensitivity,FD004,FD004,lstm,71,residual_split_cp,piecewise_125,all_21,kill_v1__fd004__lstm__piecewise_125__all_21__seed71,point,completed,results/uq_reference/uq_ref_v1__kill__fd004__lstm__piecewise_125__all_21__seed71__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd004__lstm__piecewise_125__common_14__seed11__residual_split_cp,kill_protocol_sensitivity,FD004,FD004,lstm,11,residual_split_cp,piecewise_125,common_14,kill_v1__fd004__lstm__piecewise_125__common_14__seed11,point,completed,results/uq_reference/uq_ref_v1__kill__fd004__lstm__piecewise_125__common_14__seed11__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd004__lstm__piecewise_125__common_14__seed23__residual_split_cp,kill_protocol_sensitivity,FD004,FD004,lstm,23,residual_split_cp,piecewise_125,common_14,kill_v1__fd004__lstm__piecewise_125__common_14__seed23,point,completed,results/uq_reference/uq_ref_v1__kill__fd004__lstm__piecewise_125__common_14__seed23__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd004__lstm__piecewise_125__common_14__seed37__residual_split_cp,kill_protocol_sensitivity,FD004,FD004,lstm,37,residual_split_cp,piecewise_125,common_14,kill_v1__fd004__lstm__piecewise_125__common_14__seed37,point,completed,results/uq_reference/uq_ref_v1__kill__fd004__lstm__piecewise_125__common_14__seed37__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd004__lstm__piecewise_125__common_14__seed53__residual_split_cp,kill_protocol_sensitivity,FD004,FD004,lstm,53,residual_split_cp,piecewise_125,common_14,kill_v1__fd004__lstm__piecewise_125__common_14__seed53,point,completed,results/uq_reference/uq_ref_v1__kill__fd004__lstm__piecewise_125__common_14__seed53__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd004__lstm__piecewise_125__common_14__seed71__residual_split_cp,kill_protocol_sensitivity,FD004,FD004,lstm,71,residual_split_cp,piecewise_125,common_14,kill_v1__fd004__lstm__piecewise_125__common_14__seed71,point,completed,results/uq_reference/uq_ref_v1__kill__fd004__lstm__piecewise_125__common_14__seed71__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd004__lstm__linear_uncapped__all_21__seed11__residual_split_cp,kill_protocol_sensitivity,FD004,FD004,lstm,11,residual_split_cp,linear_uncapped,all_21,kill_v1__fd004__lstm__linear_uncapped__all_21__seed11,point,completed,results/uq_reference/uq_ref_v1__kill__fd004__lstm__linear_uncapped__all_21__seed11__residual_split_cp,artifact_validation_pass
uq_ref_v1__kill__fd004__lstm__linear_uncapped__all_21__seed23__residual_split_cp,kill_protocol_sensitivity,FD004,FD004,lstm,23,residual_split_cp,linear_uncapped,all_21,kill_v1__fd004__lstm__linear_uncapped__all_21__seed23,point,completed,results/uq_reference/uq_ref_v1__kill__fd004__lstm__linear_uncapped__all_21__seed23__residual_split_cp,artifact_validation_pass
